mgmt_code,mgmt_name,short_name,former_name
3W5,브이아이피자산운용,브이아이피,
3F3,브이앤에스자산운용,브이앤에스,
3X1,브이엠자산운용,브이엠,브이엠투자자문
4E5,블래쉬자산운용,블래쉬자산,
366,블랙록자산운용,블랙록,
4D7,블루코브자산운용,블루코브,
3Q4,블루텍자산운용,블루텍,
4J8,블리츠자산운용,블리츠,
3U2,비앤아이자산운용,비앤아이,
3Y3,비엔비자산운용,비엔비,
240,비엔케이자산운용,BNK,GS자산운용
3H9,비욘드자산운용,비욘드,유리치자산운용
3N2,비전자산운용,비전,
3Y7,비케이피엘자산운용,비케이피엘운용,발벡케이피엘자산운용
3S9,빌리언폴드자산운용,빌리언폴드,
3N9,삼성액티브자산운용,삼성액티브,
3B0,삼성에스알에이자산운용,삼성SRA,
105,삼성자산운용,삼성,
3N8,삼성헤지자산운용,삼성헤지,
372,삼천리자산운용,삼천리,맥쿼리
4C1,샘자산운용,샘,
4F1,셀레니언자산운용,셀레니언,
3M5,수성자산운용,수성,
230,슈로더투자신탁운용,슈로더,
4K5,스노우볼아이비자산운용,스노우볼아이비,
3T5,스마일게이트자산운용,스마일게이트,
3Y1,스카이워크자산운용,스카이워크,
4A3,스타로드자산운용,스타로드,
3X5,스타퀘스트자산운용,유레카,
3K2,스탠다드자산운용,스탠다드에셋,제이에스자산운용
4E9,스톤브릿지자산운용,스톤브릿지,
3X7,스틱얼터너티브자산운용,스틱얼터너티브,
355,스팍스자산운용,스팍스,코스모자산운용㈜
4D6,스페이스자산운용,스페이스,
4H2,스프랏코리아자산운용,스프랏코리아,
4C6,슬기자산운용,슬기,
4I9,시그니처자산운용,시그니처,
3C0,시몬느자산운용,시몬느,
398,신라자산운용,모놀리스,혜안자산운용
209,신영자산운용,신영,
3T7,신한대체투자운용,신한대체투자,
210,신한자산운용,신한,신한비엔피파리바자산운용
3K3,썬앤트리자산운용,썬앤트리,
374,씨비알이인베스트먼트매니지먼트자산운용,CBRE,아이엔지리얼
3J9,씨스퀘어자산운용,씨스퀘어,
3T9,씨앗자산운용,씨앗,
4G2,씨에이씨자산운용,씨에이씨,
4H1,씨엘자산운용,씨엘,
3L1,씨케이골디락스자산운용,씨케이골디락스,
3P8,아너스자산운용,아너스,
4E7,아든자산운용,아든,
4E6,아라자산운용,아라,
3H1,아람자산운용,아람,
3Q2,아름드리자산운용,아름드리,
3K4,아샘자산운용,아샘,
3V1,아스트라자산운용,아스트라,
3H3,아우름자산운용,아우름,
3M6,아울자산운용,아울,
245,아이디어브릿지자산운용,아이디어브릿지,
3S8,아이리스자산운용,아이리스,
234,아이비케이자산운용,IBK,
3G4,아이앤제이자산운용,아이앤제이,
3M2,아이온자산운용,아이온,
3V9,아이파트너스자산운용,아이파트너스,
4F6,아이피엠자산운용,아이피엠,
3R1,아크임팩트자산운용,아크임팩트,아크자문
3W9,아트만자산운용,아트만,
4B8,아하에셋자산운용,아하에셋,
3C1,안다자산운용,안다,
242,알지자산운용,RG,RG에너지
321,알파자산운용,알파,알파에셋자산운용
3K5,알펜루트자산운용,알펜루트,
4G6,앤도버자산운용,앤도버,
3H5,앱솔루트자산운용,앱솔루트,
370,얼라이언스번스틴자산운용,얼라이언스,
4J2,얼라인파트너스자산운용,얼라인파트너스,
4A4,얼터너티브자산운용,얼터너티브,
3N7,에너지인프라자산운용,에너지인프라,
244,에셋원자산운용,에셋원,파인브릿지
364,에셋플러스자산운용,에셋플러스,
4D8,에스에이치자산운용,에스에이치,구스자산운용
4A1,에스에이피자산운용,에스에이피,
3G2,에스티엔에이치자산운용,에스티엔에이치운용,인피니툼자산운용
3R5,에스피자산운용,에스피,
3D0,에이디에프자산운용,에이디에프,
3V6,에이아이파트너스자산운용,에이아이파트너스,
3B1,에이아이피자산운용,에이아이피,에프지자산운용
3P7,에이알에이코리아자산운용,에이알에이,에스아이케이자산운용
3V5,에이원자산운용,에이원,
226,에이치디씨자산운용,HDC,HDC
3F6,에이치알자산운용,에이치알,
4K2,에이치에이치알자산운용,에이치에이치알,하이픈투자운용
4E3,에이치원자산운용,에이치원,
4A5,에이치자산운용,에이치,
4J7,에이피자산운용,에이피,
4J3,에프엘자산운용,에프엘,
3U4,엑스포넨셜자산운용,엑스포넨셜,
4H6,엔에이치농협리츠운용,엔에이치농협리츠,
232,엔에이치아문디자산운용,NH-아문디,NH-CA/농협CA투신운용
4D5,엔에이치헤지자산운용,엔에이치헤지,
3P6,엘비자산운용,엘비,
4G8,엘에프자산운용,엘에프,
4H7,엘엑스자산운용,엘엑스운용,
4C5,엘엔에스자산운용,엘엔에스,
3E0,엘케이자산운용,LK,
3F7,엠디엠자산운용,엠디엠,한국자산에셋운용
369,엠플러스자산운용,엠플러스,
3H4,오라이언자산운용,오라이언,
4B1,오라자산운용,오라,
4B9,오하자산운용,오하,
3J6,옵투스자산운용,옵투스,
377,옵티머스자산운용,옵티머스,"애스크베리타스, 에이브이"
3T6,옵티멈자산운용,옵티멈,
4H4,와이드크릭자산운용,와이드크릭,
4D1,와이앤피자산운용,와이앤피,
228,우리글로벌자산운용,우리글로벌,에이비엘글로벌자산운용
107,우리자산운용,우리,동양자산운용
