rcept_no,부,부제목,절번호,절제목,본문시작행,찾음
20260911000180,5,제5부 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,3029,O
20260911000180,5,제5부 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,3050,O
20260911000180,5,제5부 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,3053,O
20260911000231,1,제1부                      모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,532,O
20260911000231,1,제1부                      모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,547,O
20260911000231,1,제1부                      모집 또는 매출에 관한 사항,3,모집예정금액,561,O
20260911000231,1,제1부                      모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,570,O
20260911000231,1,제1부                      모집 또는 매출에 관한 사항,5,인수에 관한 사항,582,O
20260911000231,1,제1부                      모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,585,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,1,집합투자기구의 명칭,594,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,2,집합투자기구의 연혁,609,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,634,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,4,집합투자업자,645,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,653,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,6,집합투자기구의 구조,686,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,7,집합투자기구의 투자목적,801,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,8,집합투자기구의 투자대상,816,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 투자방침 및 수익구조",1074,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1219,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,11,"매입, 환매, 전환절차 및 기준가격 적용기준",1428,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1590,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1677,O
20260911000231,2,제2부                          집합투자기구에 관한 사항,14,이익 배분 및 과세에 관한 사항,1840,O
20260911000231,3,제3부                          집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,1958,O
20260911000231,3,제3부                          집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매 현황,2204,O
20260911000231,3,제3부                          집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2240,O
20260911000231,4,제4부                        집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2384,O
20260911000231,4,제4부                        집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,2457,O
20260911000231,4,제4부                        집합투자기구 관련회사에 관한 사항,3,집합투자재산 관리회사에 관한 사항(신탁업자),2464,O
20260911000231,4,제4부                        집합투자기구 관련회사에 관한 사항,4,일반사무관리회사에 관한 사항,2513,O
20260911000231,4,제4부                        집합투자기구 관련회사에 관한 사항,5,집합투자기구 평가회사에 관한 사항,2538,O
20260911000231,4,제4부                        집합투자기구 관련회사에 관한 사항,6,채권평가회사에 관한 사항,2542,O
20260911000231,5,제5부                 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,2566,O
20260911000231,5,제5부                 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,2721,O
20260911000231,5,제5부                 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,2747,O
20260911000231,5,제5부                 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,2896,O
20260911000231,5,제5부                 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,2933,O
20260911000231,5,제5부                 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,2936,O
20260911000281,1,제1부                      모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,569,O
20260911000281,1,제1부                      모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,590,O
20260911000281,1,제1부                      모집 또는 매출에 관한 사항,3,모집예정금액,604,O
20260911000281,1,제1부                      모집 또는 매출에 관한 사항,4,모집의 내용 및 절차,618,O
20260911000281,1,제1부                      모집 또는 매출에 관한 사항,5,인수에 관한 사항,627,O
20260911000281,1,제1부                      모집 또는 매출에 관한 사항,6,상장 및 매매에 관한 사항,630,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,1,집합투자기구의 명칭,639,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,2,집합투자기구의 연혁,660,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,3,집합투자기구의 신탁계약기간,718,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,4,집합투자업자,726,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,5,운용전문인력에 관한 사항,738,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,6,집합투자기구의 구조,771,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,7,집합투자기구의 투자목적,905,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,8,집합투자기구의 투자대상,920,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,9,"집합투자기구의 투자전략, 투자방침 및 수익구조",1198,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,10,집합투자기구의 투자위험,1312,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,11,"매입, 환매, 전환절차 및 기준가격 적용기준",1675,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,12,기준가격 산정기준 및 집합투자재산의 평가,1875,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,13,보수 및 수수료에 관한 사항,1967,O
20260911000281,2,제2부                           집합투자기구에 관한 사항,14,이익 배분 및 과세에 관한 사항,2218,O
20260911000281,3,제3부                          집합투자기구의 재무 및 운용실적 등에 관한 사항,1,재무정보,2376,O
20260911000281,3,제3부                          집합투자기구의 재무 및 운용실적 등에 관한 사항,2,연도별 설정 및 환매 현황,2623,O
20260911000281,3,제3부                          집합투자기구의 재무 및 운용실적 등에 관한 사항,3,집합투자기구의 운용실적,2809,O
20260911000281,4,제4부                        집합투자기구 관련회사에 관한 사항,1,집합투자업자에 관한 사항,2993,O
20260911000281,4,제4부                        집합투자기구 관련회사에 관한 사항,2,운용관련 업무 수탁회사 등에 관한 사항,3066,O
20260911000281,4,제4부                        집합투자기구 관련회사에 관한 사항,3,집합투자재산 관리회사에 관한 사항(신탁업자),3073,O
20260911000281,4,제4부                        집합투자기구 관련회사에 관한 사항,4,일반사무관리회사에 관한 사항,3122,O
20260911000281,4,제4부                        집합투자기구 관련회사에 관한 사항,5,집합투자기구 평가회사에 관한 사항,3147,O
20260911000281,4,제4부                        집합투자기구 관련회사에 관한 사항,6,채권평가회사에 관한 사항,3151,O
20260911000281,5,제5부                 기타 투자자보호를 위해 필요한 사항,1,투자자의 권리에 관한 사항,3175,O
20260911000281,5,제5부                 기타 투자자보호를 위해 필요한 사항,2,집합투자기구의 해지에 관한 사항,3330,O
20260911000281,5,제5부                 기타 투자자보호를 위해 필요한 사항,3,집합투자기구의 공시에 관한 사항,3356,O
20260911000281,5,제5부                 기타 투자자보호를 위해 필요한 사항,4,이해관계인 등과의 거래에 관한 사항,3505,O
20260911000281,5,제5부                 기타 투자자보호를 위해 필요한 사항,5,집합투자업자의 고유재산 투자에 관한 사항,3542,O
20260911000281,5,제5부                 기타 투자자보호를 위해 필요한 사항,6,외국 집합투자기구에 관한 추가 기재사항,3545,O
20260911000448,1,제1부 모집 또는 매출에 관한 사항,1,집합투자기구의 명칭,383,O
20260911000448,1,제1부 모집 또는 매출에 관한 사항,2,집합투자기구의 종류 및 형태,393,O
